#;RAJ;DECJ;P0;P1;NAME;PSRJ;PSR;BINARY;PB;
 ;(hms);(dms);(s); ; ; ;TYPE;(type);(days);
155;04:55:47.5;-69:51:34.3;0.320423;1.02e-14;B0456-69;J0455-6951;*;*;*;
156;04:56:30;-69:10;0.117073;*;J0456-69;J0456-69;*;*;*;
157;04:56:02.5;-70:31:06.6;0.800132;3.67e-14;J0456-7031;J0456-7031;*;*;*;
158;04:57:06;+23:34:00;0.504900;*;J0457+23;J0457+23;*;*;*;
159;04:57:07.7;-63:37:30.4;2.497012;2.10e-16;J0457-6337;J0457-6337;*;*;*;
160;04:57:02;-69:46;0.231390;*;J0457-69;J0457-69;*;*;*;
161;04:58:37.1;-05:05:05.1;1.883480;5.30e-16;J0458-0505;J0458-0505;*;*;*;
162;04:58:59;-67:43;1.133900;*;J0458-67;J0458-67;*;*;*;
163;04:59:51.9;-02:10:06.6;1.133076;1.40e-15;J0459-0210;J0459-0210;*;*;*;
164;05:01:06.7;+45:16:33.9;5.762097;5.82e-12;J0501+4516;J0501+4516;AXP,NRAD;*;*;
165;05:02:04.5;+46:54:06.0;0.638565;5.58e-15;B0458+46;J0502+4654;*;*;*;
166;05:02:50.5;-66:17:58.8;0.691251;2.31e-14;B0502-66;J0502-6617;*;*;*;
167;05:09:24;+08:57:00;0.004100;*;J0509+08;J0509+08;*;*;*;
168;05:09:59;+38:12;0.076564;*;J0510+38;J0510+38;*;*;*;
169;05:11:56.5;-65:08:36.5;0.322062;2.06e-16;J0511-6508;J0511-6508;*;*;*;
170;05:14:06.6;-40:02:48.8;0.004991;1.17e-21;J0514-4002A;J0514-4002A;*;BT;18.7852;
171;05:14:51.8;-44:07:06.5;0.302200;*;J0514-4407;J0514-4407;*;*;*;
172;05:17:17.1;+22:12:51.9;0.222367;1.16e-17;J0517+2212;J0517+2212;*;*;*;
173;05:19;+44;0.515000;*;J0519+44;J0519+44;*;*;*;
174;05:20;+54:25;0.340194;*;J0519+54;J0519+54;*;*;*;
175;05:19:46.9;-69:32:23.4;0.263212;6.97e-16;J0519-6932;J0519-6932;*;*;*;
176;05:20:36.1;-25:53:12.2;0.241642;3.01e-17;J0520-2553;J0520-2553;*;*;*;
177;05:21:44;-68:35;0.433421;*;J0521-68;J0521-68;*;*;*;
178;05:22:23.0;-68:47:02.2;0.674532;1.77e-14;J0522-6847;J0522-6847;*;*;*;
179;05:25:56.4;+11:15:19.0;0.354438;7.36e-17;B0523+11;J0525+1115;*;*;*;
180;05:26:00.9;-66:04:36.3;8.047000;6.50e-11;J0525-6607;J0525-6607;AXP,NRAD;*;*;
181;05:28:52.2;+22:00:04;3.745539;4.01e-14;B0525+21;J0528+2200;*;*;*;
182;05:29:50.9;-66:52:38.2;0.975725;1.55e-14;B0529-66;J0529-6652;*;*;*;
183;05:32:59.5;-66:39:37.3;0.642743;5.35e-15;J0532-6639;J0532-6639;*;*;*;
184;05:32:04;-69:46;1.149196;*;J0532-69;J0532-69;*;*;*;
185;05:33:25.8;+04:02:00.5;0.963018;1.60e-16;J0533+0402;J0533+0402;*;*;*;
186;05:33;+67;0.004390;*;J0533+67;J0533+67;*;*;*;
187;05:34:31.9;+22:00:52.0;0.033392;4.21e-13;B0531+21;J0534+2200;HE[cdt69,fhm+69,hjm+70];*;*;
188;05:34:36.1;-67:03:48.8;1.817565;4.25e-13;J0534-6703;J0534-6703;*;*;*;
189;05:35:40;-66:52;0.210524;*;J0535-66;J0535-66;*;*;*;
190;05:35;-69:35;0.200511;1.15e-14;J0535-6935;J0535-6935;*;*;*;
191;05:36:30.7;-75:43:56.7;1.245856;5.65e-16;B0538-75;J0536-7543;*;*;*;
192;05:37:43;-69:21;0.112613;*;J0537-69;J0537-69;*;*;*;
193;05:37:47.4;-69:10:19.8;0.016122;5.18e-14;J0537-6910;J0537-6910;NRAD;*;*;
194;05:38:25.0;+28:17:09.1;0.143158;3.67e-15;J0538+2817;J0538+2817;HE[mkz+03];*;*;
195;05:40:37.1;+32:07:37.3;0.524271;4.48e-16;J0540+3207;J0540+3207;*;*;*;
196;05:40:11.2;-69:19:54.1;0.050570;4.79e-13;B0540-69;J0540-6919;HE[mp85];*;*;
